student_id,class,reflection,sentiment
507_S01,507,這篇閱讀文章非常有意思，我覺得做答題目很有挑戰性，收穫很多！,正面 (Positive)
507_S02,507,題目太難了，看不太懂文章意思，時間不夠用，有點挫折。,負面 (Negative)
507_S03,507,今天完成任務獲得很多代幣，解題過程很順利，很有成就感。,正面 (Positive)
507_S04,507,閱讀介面字太小，而且討論區大家都回答很快，壓力好大。,負面 (Negative)
507_S05,507,文章內容很實用，對我寫作文有幫助，希望能多做這種題目。,正面 (Positive)
507_S06,507,只是為了拿獎勵隨便亂猜，根本不想讀那麼長的文字。,負面 (Negative)
507_S07,507,分析圖表滿有趣的，跟同學討論之後終於搞懂正確答案。,正面 (Positive)
507_S08,507,系統卡住很不順，題目敘述好複雜，完全不想繼續寫。,負面 (Negative)
507_S09,507,提問很引人深思，雖然寫錯幾題，但看解說就懂了。,正面 (Positive)
507_S10,507,無聊，不喜歡這個閱讀平台，希望功課可以少一點。,負面 (Negative)
507_S11,507,這篇閱讀文章非常有意思，我覺得做答題目很有挑戰性，收穫很多！,正面 (Positive)
507_S12,507,題目太難了，看不太懂文章意思，時間不夠用，有點挫折。,負面 (Negative)
507_S13,507,今天完成任務獲得很多代幣，解題過程很順利，很有成就感。,正面 (Positive)
507_S14,507,閱讀介面字太小，而且討論區大家都回答很快，壓力好大。,負面 (Negative)
507_S15,507,文章內容很實用，對我寫作文有幫助，希望能多做這種題目。,正面 (Positive)
507_S16,507,只是為了拿獎勵隨便亂猜，根本不想讀那麼長的文字。,負面 (Negative)
507_S17,507,分析圖表滿有趣的，跟同學討論之後終於搞懂正確答案。,正面 (Positive)
507_S18,507,系統卡住很不順，題目敘述好複雜，完全不想繼續寫。,負面 (Negative)
507_S19,507,提問很引人深思，雖然寫錯幾題，但看解說就懂了。,正面 (Positive)
507_S20,507,無聊，不喜歡這個閱讀平台，希望功課可以少一點。,負面 (Negative)
507_S21,507,這篇閱讀文章非常有意思，我覺得做答題目很有挑戰性，收穫很多！,正面 (Positive)
507_S22,507,題目太難了，看不太懂文章意思，時間不夠用，有點挫折。,負面 (Negative)
507_S23,507,今天完成任務獲得很多代幣，解題過程很順利，很有成就感。,正面 (Positive)
507_S24,507,閱讀介面字太小，而且討論區大家都回答很快，壓力好大。,負面 (Negative)
507_S25,507,文章內容很實用，對我寫作文有幫助，希望能多做這種題目。,正面 (Positive)
507_S26,507,只是為了拿獎勵隨便亂猜，根本不想讀那麼長的文字。,負面 (Negative)
507_S27,507,分析圖表滿有趣的，跟同學討論之後終於搞懂正確答案。,正面 (Positive)
507_S28,507,系統卡住很不順，題目敘述好複雜，完全不想繼續寫。,負面 (Negative)
507_S29,507,提問很引人深思，雖然寫錯幾題，但看解說就懂了。,正面 (Positive)
