student_id,class,reflection,sentiment,topic
505_S01,505,這篇閱讀文章非常有意思，我覺得做答題目很有挑戰性，收穫很多！,正面 (Positive),學習動機與成就感
505_S02,505,題目太難了，看不太懂文章意思，時間不夠用，有點挫折。,負面 (Negative),課程難度與解題
505_S03,505,今天完成任務獲得很多代幣，解題過程很順利，很有成就感。,正面 (Positive),學習動機與成就感
505_S04,505,閱讀介面字太小，而且討論區大家都回答很快，壓力好大。,負面 (Negative),平台與系統體驗
505_S05,505,文章內容很實用，對我寫作文有幫助，希望能多做這種題目。,正面 (Positive),學習動機與成就感
505_S06,505,只是為了拿獎勵隨便亂猜，根本不想讀那麼長的文字。,負面 (Negative),學習動機與成就感
505_S07,505,分析圖表滿有趣的，跟同學討論之後終於搞懂正確答案。,正面 (Positive),課程難度與解題
505_S08,505,系統卡住很不順，題目敘述好複雜，完全不想繼續寫。,負面 (Negative),平台與系統體驗
505_S09,505,提問很引人深思，雖然寫錯幾題，但看解說就懂了。,正面 (Positive),學習動機與成就感
505_S10,505,無聊，不喜歡這個閱讀平台，希望功課可以少一點。,負面 (Negative),學習動機與成就感
505_S11,505,這篇閱讀文章非常有意思，我覺得做答題目很有挑戰性，收穫很多！,正面 (Positive),學習動機與成就感
505_S12,505,題目太難了，看不太懂文章意思，時間不夠用，有點挫折。,負面 (Negative),課程難度與解題
505_S13,505,今天完成任務獲得很多代幣，解題過程很順利，很有成就感。,正面 (Positive),學習動機與成就感
505_S14,505,閱讀介面字太小，而且討論區大家都回答很快，壓力好大。,負面 (Negative),平台與系統體驗
505_S15,505,文章內容很實用，對我寫作文有幫助，希望能多做這種題目。,正面 (Positive),學習動機與成就感
505_S16,505,只是為了拿獎勵隨便亂猜，根本不想讀那麼長的文字。,負面 (Negative),學習動機與成就感
505_S17,505,分析圖表滿有趣的，跟同學討論之後終於搞懂正確答案。,正面 (Positive),課程難度與解題
505_S18,505,系統卡住很不順，題目敘述好複雜，完全不想繼續寫。,負面 (Negative),平台與系統體驗
505_S19,505,提問很引人深思，雖然寫錯幾題，但看解說就懂了。,正面 (Positive),學習動機與成就感
505_S20,505,無聊，不喜歡這個閱讀平台，希望功課可以少一點。,負面 (Negative),學習動機與成就感
505_S21,505,這篇閱讀文章非常有意思，我覺得做答題目很有挑戰性，收穫很多！,正面 (Positive),學習動機與成就感
505_S22,505,題目太難了，看不太懂文章意思，時間不夠用，有點挫折。,負面 (Negative),課程難度與解題
505_S23,505,今天完成任務獲得很多代幣，解題過程很順利，很有成就感。,正面 (Positive),學習動機與成就感
505_S24,505,閱讀介面字太小，而且討論區大家都回答很快，壓力好大。,負面 (Negative),平台與系統體驗
505_S25,505,文章內容很實用，對我寫作文有幫助，希望能多做這種題目。,正面 (Positive),學習動機與成就感
505_S26,505,只是為了拿獎勵隨便亂猜，根本不想讀那麼長的文字。,負面 (Negative),學習動機與成就感
505_S27,505,分析圖表滿有趣的，跟同學討論之後終於搞懂正確答案。,正面 (Positive),課程難度與解題
505_S28,505,系統卡住很不順，題目敘述好複雜，完全不想繼續寫。,負面 (Negative),平台與系統體驗
505_S29,505,提問很引人深思，雖然寫錯幾題，但看解說就懂了。,正面 (Positive),學習動機與成就感
506_S01,506,這篇閱讀文章非常有意思，我覺得做答題目很有挑戰性，收穫很多！,正面 (Positive),學習動機與成就感
506_S02,506,題目太難了，看不太懂文章意思，時間不夠用，有點挫折。,負面 (Negative),課程難度與解題
506_S03,506,今天完成任務獲得很多代幣，解題過程很順利，很有成就感。,正面 (Positive),學習動機與成就感
506_S04,506,閱讀介面字太小，而且討論區大家都回答很快，壓力好大。,負面 (Negative),平台與系統體驗
506_S05,506,文章內容很實用，對我寫作文有幫助，希望能多做這種題目。,正面 (Positive),學習動機與成就感
506_S06,506,只是為了拿獎勵隨便亂猜，根本不想讀那麼長的文字。,負面 (Negative),學習動機與成就感
506_S07,506,分析圖表滿有趣的，跟同學討論之後終於搞懂正確答案。,正面 (Positive),課程難度與解題
506_S08,506,系統卡住很不順，題目敘述好複雜，完全不想繼續寫。,負面 (Negative),平台與系統體驗
506_S09,506,提問很引人深思，雖然寫錯幾題，但看解說就懂了。,正面 (Positive),學習動機與成就感
506_S10,506,無聊，不喜歡這個閱讀平台，希望功課可以少一點。,負面 (Negative),學習動機與成就感
506_S11,506,這篇閱讀文章非常有意思，我覺得做答題目很有挑戰性，收穫很多！,正面 (Positive),學習動機與成就感
506_S12,506,題目太難了，看不太懂文章意思，時間不夠用，有點挫折。,負面 (Negative),課程難度與解題
506_S13,506,今天完成任務獲得很多代幣，解題過程很順利，很有成就感。,正面 (Positive),學習動機與成就感
506_S14,506,閱讀介面字太小，而且討論區大家都回答很快，壓力好大。,負面 (Negative),平台與系統體驗
506_S15,506,文章內容很實用，對我寫作文有幫助，希望能多做這種題目。,正面 (Positive),學習動機與成就感
506_S16,506,只是為了拿獎勵隨便亂猜，根本不想讀那麼長的文字。,負面 (Negative),學習動機與成就感
506_S17,506,分析圖表滿有趣的，跟同學討論之後終於搞懂正確答案。,正面 (Positive),課程難度與解題
506_S18,506,系統卡住很不順，題目敘述好複雜，完全不想繼續寫。,負面 (Negative),平台與系統體驗
506_S19,506,提問很引人深思，雖然寫錯幾題，但看解說就懂了。,正面 (Positive),學習動機與成就感
506_S20,506,無聊，不喜歡這個閱讀平台，希望功課可以少一點。,負面 (Negative),學習動機與成就感
506_S21,506,這篇閱讀文章非常有意思，我覺得做答題目很有挑戰性，收穫很多！,正面 (Positive),學習動機與成就感
506_S22,506,題目太難了，看不太懂文章意思，時間不夠用，有點挫折。,負面 (Negative),課程難度與解題
506_S23,506,今天完成任務獲得很多代幣，解題過程很順利，很有成就感。,正面 (Positive),學習動機與成就感
506_S24,506,閱讀介面字太小，而且討論區大家都回答很快，壓力好大。,負面 (Negative),平台與系統體驗
506_S25,506,文章內容很實用，對我寫作文有幫助，希望能多做這種題目。,正面 (Positive),學習動機與成就感
506_S26,506,只是為了拿獎勵隨便亂猜，根本不想讀那麼長的文字。,負面 (Negative),學習動機與成就感
506_S27,506,分析圖表滿有趣的，跟同學討論之後終於搞懂正確答案。,正面 (Positive),課程難度與解題
506_S28,506,系統卡住很不順，題目敘述好複雜，完全不想繼續寫。,負面 (Negative),平台與系統體驗
506_S29,506,提問很引人深思，雖然寫錯幾題，但看解說就懂了。,正面 (Positive),學習動機與成就感
507_S01,507,這篇閱讀文章非常有意思，我覺得做答題目很有挑戰性，收穫很多！,正面 (Positive),學習動機與成就感
507_S02,507,題目太難了，看不太懂文章意思，時間不夠用，有點挫折。,負面 (Negative),課程難度與解題
507_S03,507,今天完成任務獲得很多代幣，解題過程很順利，很有成就感。,正面 (Positive),學習動機與成就感
507_S04,507,閱讀介面字太小，而且討論區大家都回答很快，壓力好大。,負面 (Negative),平台與系統體驗
507_S05,507,文章內容很實用，對我寫作文有幫助，希望能多做這種題目。,正面 (Positive),學習動機與成就感
507_S06,507,只是為了拿獎勵隨便亂猜，根本不想讀那麼長的文字。,負面 (Negative),學習動機與成就感
507_S07,507,分析圖表滿有趣的，跟同學討論之後終於搞懂正確答案。,正面 (Positive),課程難度與解題
507_S08,507,系統卡住很不順，題目敘述好複雜，完全不想繼續寫。,負面 (Negative),平台與系統體驗
507_S09,507,提問很引人深思，雖然寫錯幾題，但看解說就懂了。,正面 (Positive),學習動機與成就感
507_S10,507,無聊，不喜歡這個閱讀平台，希望功課可以少一點。,負面 (Negative),學習動機與成就感
507_S11,507,這篇閱讀文章非常有意思，我覺得做答題目很有挑戰性，收穫很多！,正面 (Positive),學習動機與成就感
507_S12,507,題目太難了，看不太懂文章意思，時間不夠用，有點挫折。,負面 (Negative),課程難度與解題
507_S13,507,今天完成任務獲得很多代幣，解題過程很順利，很有成就感。,正面 (Positive),學習動機與成就感
507_S14,507,閱讀介面字太小，而且討論區大家都回答很快，壓力好大。,負面 (Negative),平台與系統體驗
507_S15,507,文章內容很實用，對我寫作文有幫助，希望能多做這種題目。,正面 (Positive),學習動機與成就感
507_S16,507,只是為了拿獎勵隨便亂猜，根本不想讀那麼長的文字。,負面 (Negative),學習動機與成就感
507_S17,507,分析圖表滿有趣的，跟同學討論之後終於搞懂正確答案。,正面 (Positive),課程難度與解題
507_S18,507,系統卡住很不順，題目敘述好複雜，完全不想繼續寫。,負面 (Negative),平台與系統體驗
507_S19,507,提問很引人深思，雖然寫錯幾題，但看解說就懂了。,正面 (Positive),學習動機與成就感
507_S20,507,無聊，不喜歡這個閱讀平台，希望功課可以少一點。,負面 (Negative),學習動機與成就感
507_S21,507,這篇閱讀文章非常有意思，我覺得做答題目很有挑戰性，收穫很多！,正面 (Positive),學習動機與成就感
507_S22,507,題目太難了，看不太懂文章意思，時間不夠用，有點挫折。,負面 (Negative),課程難度與解題
507_S23,507,今天完成任務獲得很多代幣，解題過程很順利，很有成就感。,正面 (Positive),學習動機與成就感
507_S24,507,閱讀介面字太小，而且討論區大家都回答很快，壓力好大。,負面 (Negative),平台與系統體驗
507_S25,507,文章內容很實用，對我寫作文有幫助，希望能多做這種題目。,正面 (Positive),學習動機與成就感
507_S26,507,只是為了拿獎勵隨便亂猜，根本不想讀那麼長的文字。,負面 (Negative),學習動機與成就感
507_S27,507,分析圖表滿有趣的，跟同學討論之後終於搞懂正確答案。,正面 (Positive),課程難度與解題
507_S28,507,系統卡住很不順，題目敘述好複雜，完全不想繼續寫。,負面 (Negative),平台與系統體驗
507_S29,507,提問很引人深思，雖然寫錯幾題，但看解說就懂了。,正面 (Positive),學習動機與成就感
510_S01,510,這篇閱讀文章非常有意思，我覺得做答題目很有挑戰性，收穫很多！,正面 (Positive),學習動機與成就感
510_S02,510,題目太難了，看不太懂文章意思，時間不夠用，有點挫折。,負面 (Negative),課程難度與解題
510_S03,510,今天完成任務獲得很多代幣，解題過程很順利，很有成就感。,正面 (Positive),學習動機與成就感
510_S04,510,閱讀介面字太小，而且討論區大家都回答很快，壓力好大。,負面 (Negative),平台與系統體驗
510_S05,510,文章內容很實用，對我寫作文有幫助，希望能多做這種題目。,正面 (Positive),學習動機與成就感
510_S06,510,只是為了拿獎勵隨便亂猜，根本不想讀那麼長的文字。,負面 (Negative),學習動機與成就感
510_S07,510,分析圖表滿有趣的，跟同學討論之後終於搞懂正確答案。,正面 (Positive),課程難度與解題
510_S08,510,系統卡住很不順，題目敘述好複雜，完全不想繼續寫。,負面 (Negative),平台與系統體驗
510_S09,510,提問很引人深思，雖然寫錯幾題，但看解說就懂了。,正面 (Positive),學習動機與成就感
